belongs_to_collection,budget,original_language,popularity,production_countries,runtime,tagline,revenue,release_year,release_month,budget_year_ratio,all_genres
1,11000000,7,10.841891,76,93.0,0,7847000,2013,9,2.7145955659796024,348
1,6000000,7,6.759181,275,84.0,0,5849647,1986,8,1.5212225761600082,276
1,45000000,7,7.81862,275,89.0,0,94935764,2002,4,11.227533705056183,37
1,13000000,11,16.086919,176,112.0,0,426480871,2011,11,3.214542789397251,321
1,0,11,5.69586,10,117.0,1,36000000,2005,5,0.0,479
1,90000000,7,13.412445000000002,275,106.0,0,146936910,2015,10,22.16625925903121,65
0,0,7,8.254856,77,125.0,0,7171,2014,10,0.0,511
0,140000000,7,9.718111,275,91.0,0,258022233,2007,8,34.75628027365109,102
1,30000000,7,8.234382,275,94.0,0,40346186,2012,4,7.410803568252513,140
1,0,7,2.100499,209,105.0,0,151559,2000,1,0.0,385
1,50000000,7,13.676444,275,127.0,0,189859560,1995,3,12.562735158698752,161
1,0,7,0.32926,0,90.0,0,92100,2013,9,0.0,533
1,3800000,7,3.055936,275,123.0,1,14873,1965,4,0.98414363317341,537
0,0,7,2.941626,275,118.0,0,163000,2006,4,0.0,141
1,3000000,7,9.718713000000001,275,126.0,0,16217773,1967,6,0.7753763224366252,391
1,25000000,7,2.9719990000000003,275,108.0,0,24362772,2000,3,6.25,305
1,6000000,7,9.383088,275,92.0,0,1020921,2014,9,1.4792184598574625,435
1,15000000,7,5.615303,275,88.0,0,47175038,2005,2,3.731320078855231,385
1,3906840,16,2.382068,236,95.0,0,4300000,2009,10,0.9679785911135084,404
0,80000000,7,16.646029000000002,275,91.0,0,660940780,2006,3,19.88053784807094,200
1,44000000,7,20.328822,275,167.0,0,155760117,2015,12,10.836837859970814,406
1,0,7,8.984386,275,94.0,1,653951,2017,3,0.0,321
0,38000000,7,8.105708,275,118.0,0,120000000,1994,11,9.557257529861399,83
1,560000,22,1.572904,33,102.0,1,1500000,2008,1,0.13888668433834384,348
1,12000000,7,4.473326999999999,275,160.0,0,25333333,1965,7,3.1078219994949787,215
1,0,7,1.012665,275,97.0,0,11000000,1980,6,0.0,258
1,0,7,5.410839,275,98.0,0,17514553,1988,1,0.0,441
1,20000000,7,8.759801,275,107.0,0,46069568,2016,2,4.920949861426052,1
1,0,7,9.122717999999999,275,95.0,0,36448200,1993,7,0.0,348
1,0,11,2.94798,125,97.0,1,1056938,2009,8,0.0,321
0,125000000,7,17.038823999999998,222,125.0,0,238207122,1997,6,31.34396136016744,132
1,0,7,1.8824459999999998,275,95.0,1,119563,2008,6,0.0,523
1,14000000,7,3.909079,275,95.0,0,25482931,2002,3,3.493010486017479,13
0,150000000,7,23.065078,108,144.0,0,599045960,2006,11,37.27600846513302,84
1,4000000,7,1.8010709999999999,275,105.0,0,14400000,1956,5,1.0454957950159125,435
1,0,7,6.3816120000000005,275,124.0,0,25232289,1998,1,0.0,393
0,5000000,7,7.743144,275,100.0,0,14000000,1989,7,1.2638642751321307,520
1,12000000,7,11.160699000000001,275,115.0,0,17654912,2013,9,2.9613769810686574,241
0,1500000,7,8.822275999999999,275,92.0,0,11806119,1988,2,0.37954082644761933,1
1,12000000,7,5.145185,275,108.0,0,204940,2010,1,2.970223509319076,306
1,0,35,6.303552,98,133.0,1,154120,2013,10,0.0,435
1,2000000,7,14.284787,275,129.0,1,13129846,1962,12,0.5195555513991111,391
0,85000000,7,2.238808,241,104.0,0,158468292,2006,6,21.123071463575375,131
1,29000000,7,12.092096000000002,151,103.0,0,21126225,2005,3,7.21388548578678,448
1,0,8,7.667491,4,126.0,0,16756372,2004,2,0.0,435
1,11000000,7,8.290384,275,85.0,0,8266343,1990,4,2.777707633645615,381
1,0,3,0.9195559999999999,106,90.0,1,17393,2004,3,0.0,390
1,445000,7,2.482536,275,84.0,0,2300000,1976,3,0.11396884066285302,391
0,17000000,7,9.665251,222,106.0,0,24922237,2011,8,4.203632878442559,373
1,500000,30,0.660663,233,157.0,1,500000,2000,5,0.125,454
0,6000000,7,10.451986,275,98.0,0,39846344,1980,7,1.5304560759106214,305
1,0,7,2.6333990000000003,275,122.0,0,35610100,1981,12,0.0,131
1,1500000,7,6.636625,222,102.0,0,779820,2016,9,0.36907123960695387,520
1,15000000,7,4.9840800000000005,141,118.0,0,9237470,2002,12,3.7425112350187275,131
1,10284523,7,4.3490459999999995,275,104.0,1,11588205,2005,10,2.5583231447565624,348
1,43000000,7,10.947957,151,104.0,0,91974818,2005,7,10.696450892718328,465
0,28000000,7,7.482864999999999,275,116.0,0,40400657,1984,12,7.11335848074922,532
1,2000000,7,10.239941,203,85.0,0,13101672,2011,1,0.494545044522654,512
1,50000000,7,7.260574,275,109.0,0,152022101,1995,6,12.562735158698752,53
1,8000000,7,9.741644,275,105.0,0,106260000,1979,12,2.042670884101152,435
1,7500000,2,12.314278,224,91.0,0,32392047,1995,1,1.8844102738048127,102
1,20000000,7,13.655178,114,126.0,0,13162475,2017,3,4.91607159668352,455
1,30000000,7,4.359884,203,109.0,0,140081992,1993,2,7.552776916901076,476
0,30000000,7,25.261865,275,111.0,0,180949000,2003,10,7.477550523939502,126
1,0,16,3.83196,236,106.0,1,215339,2001,3,0.0,435
1,35000000,7,1.690768,176,135.0,1,15000000,1995,9,8.793914611089127,252
1,0,7,14.322814000000001,204,96.0,0,2724474,2008,5,0.0,455
1,15000000,7,18.184055999999998,203,147.0,0,20117339,2001,5,3.746252810626171,479
1,0,27,0.181963,266,72.0,1,14353,2012,12,0.0,435
1,2500000,11,2.942355,176,98.0,1,3358,2011,11,0.6181813056533175,123
1,0,27,1.0421120000000001,266,158.0,1,73000,2011,6,0.0,442
1,10500000,8,11.003515,161,90.0,0,23000000,2012,8,2.5937812488883796,200
1,6000000,7,5.529808,275,120.0,0,46616067,1988,4,1.5181633057904773,127
1,7000000,7,7.958502,275,91.0,0,9229401,1990,1,1.767632130501755,134
1,60000000,7,11.93646,275,135.0,0,313542341,2001,12,14.985011242504685,480
1,0,18,1.066558,243,102.0,1,14961069,2007,8,0.0,97
1,0,7,2.401289,275,121.0,0,5310554,2012,9,0.0,435
0,0,32,1.590383,271,117.0,1,149521495,2014,2,0.0,305
1,10900000,7,13.454169,204,105.0,0,16505460,2013,9,2.689917424470697,435
1,31000000,7,6.523155,275,105.0,0,15134293,2010,1,7.67307739907428,435
1,72000000,7,20.755149,275,177.0,0,210000000,1995,5,18.090338628526204,150
1,14000000,7,3.873796,222,97.0,0,18535191,1999,4,3.5035026267510943,348
1,15000000,7,3.210693,275,189.0,0,34562222,1966,10,3.8808265436116938,251
1,75000000,7,13.136791,275,123.0,0,67631903,2001,10,18.731264053130857,101
1,35000000,7,5.093704,275,111.0,0,22034832,2004,8,8.715104720698324,348
1,100000000,7,11.696923,275,122.0,0,93820758,2015,11,24.629176954479124,48
1,20000000,7,4.619593,275,106.0,0,51684798,1988,3,5.060544352634924,348
0,93000000,7,32.070725,258,178.0,0,871368364,2001,12,23.22676742588226,65
1,25000000,7,5.00725,275,86.0,0,41604473,2002,5,6.2375187250312125,93
1,0,35,1.6780130000000002,92,145.0,1,311,2012,11,0.0,435
1,60000000,7,11.356011,275,100.0,0,253625427,2007,3,14.89554868870761,13
1,0,7,4.304224,275,107.0,0,1796389,1993,6,0.0,480
1,12716953,2,6.183021,28,113.0,0,18814720,1997,1,3.1887974676085236,94
0,90000000,7,8.345985,275,90.0,0,347325802,2001,8,22.477516863757028,102
0,150000000,7,12.453452,275,88.0,0,448000000,1999,6,37.537528143761726,204
1,1500000,7,1.9612080000000003,275,94.0,1,5585154,1990,2,0.3787783136789475,100
1,25000000,7,8.369176,275,115.0,0,91036760,2000,3,6.25,140
1,7500000,7,16.376657,275,95.0,0,60722734,2009,7,1.858238226636185,348
1,40000000,35,14.622492999999999,19,125.0,0,7400000,2008,7,9.920477452738846,488
1,0,7,5.695908,275,105.0,0,15500000,1978,6,0.0,13
1,10000000,7,7.886926,275,111.0,0,12008642,2000,12,2.5,465
1,18000000,7,9.929808999999999,60,100.0,0,46201432,2005,10,4.477584094626277,520
1,2400000,7,5.2306610000000004,275,120.0,0,5731103,1996,10,0.6024072192481155,435
1,4000000,7,10.130541000000001,204,90.0,0,9800000,2013,7,0.9871256603562191,305
1,6000000,7,8.278079,275,93.0,0,5206,2011,1,1.483635133567962,486
1,0,7,1.079975,140,97.0,1,2452566,2000,9,0.0,431
1,65000000,7,11.73956,275,95.0,0,211780824,2010,11,16.08871067547833,321
1,10000000,7,11.840494999999999,204,100.0,0,33000000,2007,9,2.482591448117935,385
1,2000000,7,1.372493,15,90.0,0,300000,2006,6,0.49701344620177357,219
0,0,7,2.490032,275,92.0,0,120680,2012,5,0.0,436
1,9000000,7,8.888278,275,79.0,0,4350774,1994,4,2.2635609939145422,305
1,0,7,10.245682,275,93.0,0,3065860,2010,2,0.0,533
0,110000000,7,0.9130959999999999,275,133.0,0,407711549,2003,4,27.417685254444844,83
1,14320000,7,0.5853970000000001,275,176.0,0,14000000,1968,7,3.6973692907660785,472
1,0,7,7.008512,217,101.0,0,31466789,2003,8,0.0,480
1,3500000,7,5.353826000000001,275,108.0,0,615816,2016,1,0.861166225749559,321
1,18000000,7,6.675032000000001,151,98.0,0,382174,2008,11,4.46421485373248,435
1,4000000,7,6.216637,275,108.0,0,11000000,1967,10,1.033835096582167,416
1,0,7,3.8058110000000003,275,88.0,0,9188,2016,12,0.0,474
0,0,7,10.278957,275,90.0,0,19510371,1988,3,0.0,306
1,39200000,18,14.131905999999999,111,126.0,0,86758912,2013,8,9.673831471490947,160
0,18000000,7,9.322716999999999,275,87.0,0,147214049,1992,4,4.536217157787777,355
1,25000000,7,5.405958,276,113.0,0,432274,2012,3,6.175669640210427,255
1,0,7,1.178642,275,108.0,0,18,1980,12,0.0,257
1,0,7,1.279443,275,100.0,1,16905,2016,1,0.0,422
1,0,7,3.520171,204,92.0,0,241,1988,1,0.0,443
1,4000000,7,10.200398,275,91.0,0,52425855,2015,1,0.9851670781791649,533
1,0,7,2.6204560000000003,275,90.0,0,5091888,1983,1,0.0,140
0,20000000,7,8.759774,18,72.0,0,109862682,2002,2,4.99001498002497,208
0,3500000,27,0.768181,266,126.0,1,8262833,2005,3,0.8706413517328873,1
1,0,7,0.56257,275,94.0,1,447784,1994,1,0.0,82
1,63600000,7,6.047757,275,102.0,0,19412993,2000,10,15.9,131
1,32000000,7,7.54701,241,107.0,0,18552460,1995,2,8.0401505015672,197
1,3500000,7,4.456904,275,98.0,0,113783,2006,2,0.8697735308531037,321
1,0,7,1.319188,275,88.0,0,12277096,1988,4,0.0,385
1,125000,7,10.850569,275,90.0,0,3200000,2011,9,0.030909065282665876,321
1,9000000,7,5.997054,275,93.0,0,17096053,1998,9,2.2545067590112633,321
1,40000000,7,9.825841,275,99.0,0,62771059,2007,4,9.93036579247174,520
1,0,7,0.836108,275,90.0,0,25000,1989,1,0.0,116
0,0,7,8.802715,275,87.0,0,1723872,1982,6,0.0,433
1,19000000,7,10.966014999999999,275,122.0,0,144216468,2005,9,4.72633876654996,399
0,5000000,7,6.501176999999999,204,113.0,1,41833347,1975,5,1.2818458580355712,315
0,2000000,7,11.189831,15,95.0,0,24600832,1981,12,0.5096371103473916,83
0,0,7,9.021668,275,87.0,0,55600000,1985,3,0.0,306
1,0,7,5.524866,275,102.0,0,2585639,1987,10,0.0,405
0,3500000,7,8.55931,275,121.0,0,12000000,1966,2,0.9055261935093952,129
0,11000000,7,8.929393,275,98.0,0,2807854,1991,8,2.774918070543967,198
0,12468389,7,6.116093,26,97.0,1,29007412,2011,10,3.0830899965653846,305
0,38000000,7,1.406181,151,106.0,0,207283925,2001,6,9.490507120252968,140
1,90000000,7,5.496624,89,91.0,0,14828081,2000,1,22.5,519
1,0,7,0.060645000000000004,275,74.0,1,532654,1997,3,0.0,480
0,15000000,7,14.778884,275,93.0,0,125212904,1982,10,3.818422309361448,85
0,32000000,7,11.137888,222,133.0,0,156167015,1989,7,8.088731360845637,84
1,30000000,7,5.844016000000001,151,130.0,0,31148328,2008,9,7.440358089554134,411
1,0,7,5.725912,206,119.0,0,20957001,2002,10,0.0,435
1,0,7,10.313689,275,104.0,0,21830957,1991,5,0.0,385
1,6000000,17,9.534232000000001,216,141.0,0,17555141,2010,9,1.485111754659538,39
1,82500000,7,9.796552,275,107.0,0,237681299,2006,6,20.501804655823157,332
1,14000000,7,1.36737,275,93.0,1,161001698,1997,2,3.5105236723387536,391
0,5000000,7,3.172765,60,95.0,0,3833507,2006,10,1.2425336155044338,305
1,259000,7,0.722511,275,65.0,1,921000,1928,11,0.06967640019972107,473
1,180000000,7,16.088366,275,98.0,0,521311860,2008,6,44.64214853732481,295
1,0,7,12.017861,275,111.0,0,16337881,2014,3,0.0,321
0,4000000,7,5.263187,275,86.0,0,16675000,1996,3,1.0040120320801924,519
1,40000000,7,7.271503,275,110.0,0,79700000,2012,5,9.881071424336684,348
1,0,7,6.395748,204,91.0,1,37915971,2016,7,0.0,305
0,0,7,13.762328,275,90.0,0,13168027,1983,9,0.0,131
1,4500000,7,3.3113919999999997,275,97.0,1,744816,2009,10,1.114942935981711,321
1,0,9,1.1656790000000001,235,96.0,0,115605,2008,10,0.0,435
1,7000000,7,0.8614729999999999,222,87.0,0,136203,1988,12,1.7711905234222234,511
1,60000000,7,12.915358,275,108.0,0,77920346,2006,4,14.910403386053206,140
1,24000000,7,3.6929800000000004,275,107.0,0,12372410,2000,4,6.0,104
1,12600000,7,11.695036,275,106.0,1,19054534,2014,9,3.1063587657006715,391
1,85000000,7,10.254314,151,97.0,0,144000000,2006,12,21.123071463575375,356
1,10000000,7,11.509677,222,100.0,0,3916303,1988,9,2.530272176317462,344
1,55000000,7,7.7132309999999995,275,91.0,0,110000000,2013,10,13.572977829898013,281
1,75000000,7,14.302910999999998,275,87.0,0,527068851,2007,7,18.61943586088451,281
1,3200000,7,6.1746989999999995,275,94.0,0,10000000,1985,11,0.8121363627711615,377
1,2000000,7,5.396271,275,97.0,0,2801508,2015,9,0.49258353908958247,411
1,0,7,3.14325,275,105.0,0,1543112,1992,5,0.0,411
0,15000000,7,7.024227000000001,241,92.0,0,66000000,1995,6,3.7688205476096255,63
1,0,7,8.096719,73,96.0,0,4352094,1994,4,0.0,499
1,100000000,7,8.140709,246,136.0,0,108103450,2004,3,24.90029920199521,275
1,22000000,7,7.145784,187,105.0,0,26570463,1997,12,5.51653719938947,373
0,7000000,7,19.726114000000003,275,124.0,0,470654000,1975,6,1.7945842012497997,268
1,0,7,2.011108,275,95.0,0,3418141,1993,8,0.0,113
1,6700000,13,1.312833,233,143.0,1,31000000,2012,6,1.6550794635763946,1
1,20000000,7,13.132126999999999,275,105.0,0,1969193,2012,9,4.940535712168342,411
1,35000000,7,7.321172,275,111.0,0,173965010,2013,2,8.637349528116918,306
0,35000000,17,6.493765,239,90.0,0,83061158,2014,8,8.62877434916853,296
1,10000000,7,11.341505,275,106.0,0,85300000,1981,6,2.548185551736958,93
0,0,29,2.972928,269,107.0,1,5010362,1980,8,0.0,305
1,2600000,7,2.203949,203,105.0,1,3166000,2004,7,0.6474077792518755,422
1,12000000,35,7.2161029999999995,99,132.0,1,10652498,2009,4,2.973181162617896,461
1,0,7,8.358541,275,97.0,0,754935,1992,11,0.0,385
1,5000000,7,1.608163,275,98.0,0,31649,2010,6,1.2375931288829485,348
0,49000000,7,16.628427,203,127.0,0,352927224,1992,3,12.348591151755617,527
1,0,7,0.410738,275,53.0,1,500,2016,5,0.0,305
1,0,7,11.478361,24,110.0,0,6585516,2003,3,0.0,45
1,50000000,7,7.668829,275,105.0,0,28931401,2011,2,12.36362611306635,133
1,7500000,7,8.593196,222,100.0,0,26096852,2009,10,1.858238226636185,480
1,6244087,7,11.722424,275,145.0,0,638641,1969,6,1.6105622419209273,275
1,14000000,7,1.596058,275,139.0,0,2474000,1995,3,3.5175658444356506,480
1,110000000,7,7.8250720000000005,135,120.0,0,72178895,2004,6,27.390329122194732,13
1,800000,7,0.941994,275,114.0,0,1001437,1993,10,0.20140738445069534,480
1,0,7,3.7413300000000005,177,93.0,1,2225098,2013,10,0.0,321
1,0,7,0.492745,275,101.0,1,206728,2009,2,0.0,434
1,30000000,7,21.791110999999997,222,140.0,0,8574339,2016,10,7.381424792139078,45
1,0,7,6.183051,275,94.0,0,27297451,2007,2,0.0,258
0,15000000,7,3.4504019999999995,275,87.0,1,5600000,1996,8,3.7650451203007216,373
0,0,8,0.619347,161,95.0,1,1622164,1978,9,0.0,305
1,22000000,7,11.945397,275,127.0,0,505000000,1990,7,5.55541526729123,447
1,20000000,7,5.270187,275,118.0,0,57588485,2002,12,4.99001498002497,343
1,0,7,2.592927,275,102.0,0,5790448,1997,10,0.0,142
1,70000000,7,6.660309,234,88.0,0,18662027,2013,6,17.274699056233835,299
1,0,17,12.653798,239,114.0,1,80768,2009,8,0.0,276
1,0,7,8.416802,275,103.0,0,17519169,1995,11,0.0,348
1,0,7,2.7384209999999998,275,96.0,0,43885000,1979,4,0.0,377
1,19000000,7,9.106146,275,109.0,0,18755936,2008,10,4.712226790050951,234
0,23000000,7,14.134879999999999,275,101.0,0,351583407,1994,7,5.784655873337163,311
1,18339750,5,7.692239999999999,12,156.0,0,92180910,2004,9,4.566652622897917,461
1,102000000,7,9.646208,31,99.0,0,147080413,2001,6,25.474519112257966,140
1,7920000,7,11.162277,204,140.0,0,14560084,1978,10,2.0242894284040522,524
0,12560000,11,4.0529910000000005,176,105.0,1,42700000,2001,2,3.1368623534309807,305
1,98000000,7,7.284477000000001,131,119.0,0,10017322,1995,12,24.622960911049553,2
1,8500000,7,6.57613,275,104.0,0,5001655,2004,2,2.1165254321695928,373
1,0,27,0.241287,266,95.0,1,30292,2012,11,0.0,435
1,11178,7,0.079287,259,104.0,0,34659,2012,9,0.0027612654095308864,321
1,9500000,7,5.8471660000000005,275,88.0,0,7800000,2013,9,2.3444234433460203,305
1,55000000,7,10.758754,211,121.0,0,203427584,2015,9,13.546047324963517,241
1,1000000,7,1.1575819999999999,275,89.0,0,9000000,1956,11,0.2613739487539781,156
0,0,17,10.686166,239,83.0,0,2287714,1995,11,0.0,92
1,24554,7,0.154526,0,95.0,0,140021,1998,9,0.00615079544008473,435
1,0,7,0.871303,275,99.0,1,187349,1988,9,0.0,436
1,50000000,7,11.511424,141,99.0,0,87528173,2006,4,12.425336155044338,305
1,0,17,6.972722999999999,239,133.0,1,17636261,2010,12,0.0,480
1,10000000,7,2.8497790000000003,275,99.0,0,14000,1987,11,2.5328196437386548,531
1,0,7,2.7994470000000002,275,108.0,1,143597,2004,5,0.0,486
1,15000000,7,10.271871,275,135.0,0,13060843,2002,12,3.7425112350187275,391
1,15000000,7,15.423538,275,148.0,0,56255142,2007,9,3.7238871721769025,241
0,27000,7,10.513367,275,92.0,0,3151130,1994,9,0.006790682981743626,305
1,40000000,7,8.778999,141,93.0,0,23937870,2006,7,9.94026892403547,61
1,0,7,0.49887700000000007,0,119.0,0,20,2007,9,0.0,430
0,21000000,7,8.425361,275,99.0,0,72417394,2011,3,5.1927229674878665,355
1,72500000,7,6.936688,275,116.0,0,162966177,2006,8,18.01673742481429,305
1,12000000,7,5.845712000000001,275,94.0,0,46044400,1990,10,3.03022650943158,194
1,50000000,7,12.285544999999999,275,87.0,0,83761844,2010,6,12.375931288829484,355
1,65000000,7,10.237996,275,119.0,0,250821495,1998,12,16.28254881508135,385
1,0,7,8.469808,275,127.0,1,602042,2013,5,0.0,422
1,2915739,31,0.558002,233,132.0,1,14000000,2009,1,0.7224183558258618,500
1,70000000,7,18.324219,275,98.0,0,164000000,1998,6,17.535052570087604,28
1,0,7,2.523707,275,102.0,0,23020,2016,9,0.0,435
1,65000000,7,13.455112,275,120.0,0,217764291,2004,8,16.185194481296886,411
0,0,7,2.584025,275,91.0,0,10,1999,10,0.0,520
1,30000000,7,14.811957999999999,275,95.0,0,66486080,2012,4,7.410803568252513,520
1,12000000,7,1.575026,275,100.0,1,12902790,1998,10,3.006009012015018,348
1,19000000,11,4.249948000000001,176,130.0,1,23550000,2008,1,4.712226790050951,435
1,7000000,7,7.452789999999999,275,109.0,0,48126384,2012,9,1.7291874992589196,411
1,25000000,7,3.596317,209,95.0,0,1614266,1996,3,6.2750752005012025,236
1,9000000,7,28.920839,275,117.0,0,276921998,2016,11,2.2144274376417235,520
1,0,7,4.322726,275,113.0,0,6841570,1994,10,0.0,318
1,24000000,7,11.269558,275,110.0,0,23510601,2003,1,5.982040419151602,142
1,28000000,7,13.856198999999998,231,87.0,0,11373501,1994,3,7.042189758845242,289
1,6000000,7,8.990345,204,117.0,0,254700832,1994,3,1.5090406626096946,348
1,16000000,7,12.153493,275,99.0,0,5367030,2007,3,3.972146316988696,411
1,65000000,7,10.543955,275,137.0,0,163442937,2014,12,16.024866648455845,488
1,0,25,1.7919650000000003,53,110.0,0,310724,1997,5,0.0,145
0,160000000,7,26.628178000000002,151,137.0,0,653428261,2015,11,39.406683127166595,82
0,0,27,1.763116,266,99.0,1,5873871,2009,4,0.0,173
1,60000000,7,4.924078,151,104.0,0,52322400,2002,2,14.97004494007491,435
1,25000000,7,8.364587,275,101.0,0,56489558,2003,2,6.231292103282919,127
1,3000000,7,1.739182,275,89.0,0,9563393,1991,2,0.7567958374210819,305
1,9000000,7,1.8080900000000002,275,94.0,0,26055,1991,11,2.270387512263246,117
0,11000000,7,15.750026,275,96.0,0,48572000,1990,1,2.777707633645615,177
1,225000,7,1.533379,275,87.0,0,2850000,1933,10,0.06021695768407186,385
1,0,7,2.36594,275,105.0,1,2945242,2005,9,0.0,382
1,0,7,5.385108,275,107.0,0,22886222,1993,6,0.0,486
0,0,7,7.362552,275,101.0,0,6193901,1988,1,0.0,196
1,100000000,7,14.922398999999999,238,167.0,0,193772504,2002,12,24.95007490012485,394
1,100000000,7,12.36223,275,101.0,0,100086793,2009,10,24.776509688482466,491
1,108000000,7,19.943929999999998,275,129.0,0,22678555,2016,12,26.57312925170068,391
1,30000000,7,4.902869,275,104.0,0,21800302,2004,6,7.4700897605985634,321
1,26000000,7,7.867999,275,97.0,0,110230332,2003,8,6.480543787414236,305
1,15000000,7,10.445867,71,96.0,0,8459458,2009,3,3.71647645327237,479
1,9500000,11,8.59498,69,168.0,1,12250,2012,5,2.346754463279962,480
1,16000000,7,1.7580790000000002,275,97.0,0,12000000,2004,9,3.9840478723192336,321
1,0,7,5.339887999999999,159,89.0,1,6297,2001,2,0.0,321
0,175000000,7,19.148182000000002,275,109.0,0,350170057,2017,6,43.0156264709808,200
1,55000000,7,11.672394,275,141.0,0,113020255,2008,1,13.640656497515913,402
1,60000000,7,10.271517,204,88.0,0,118338361,2012,3,14.821607136505026,200
1,115000000,7,15.232738000000001,275,109.0,0,286140700,2013,8,28.3798627352413,161
0,20000000,17,9.570657,239,126.0,0,27793200,2006,6,4.970134462017735,503
1,12000000,7,10.312016999999999,275,113.0,0,68706993,1985,2,3.0455113603918558,408
1,0,7,1.506457,204,96.0,0,750000,1986,9,0.0,194
1,85000000,7,14.170182999999998,275,106.0,0,183018522,2012,3,20.997276776715452,222
1,135000000,7,23.501228,74,156.0,0,532950503,2015,12,33.24938888854682,256
1,90000000,7,9.112008,275,100.0,0,161626121,1999,2,22.522516886257037,131
1,12000000,7,7.569698,275,83.0,0,5669831,1987,8,3.0393835724863854,122
0,71000000,7,9.439079,275,85.0,0,294456605,1998,6,17.785553321088855,356
1,26000000,7,10.177303,275,102.0,0,116400000,1996,9,6.526078208521251,305
1,40000000,7,8.062578,176,108.0,0,60965854,2011,7,9.89090089045308,131
1,15000000,7,4.582024,275,117.0,0,20529194,2010,12,3.712779386648845,480
0,100000000,7,15.088318,15,108.0,0,384335608,2006,11,24.850672310088676,277
1,0,7,1.895489,60,100.0,0,5588800,1982,3,0.0,270
1,23000000,2,10.861339,92,139.0,0,5837674,2009,12,5.698597228350967,146
1,5000000,7,6.226054,275,97.0,0,346592,2007,9,1.2412957240589675,348
1,0,7,2.8700259999999997,275,132.0,0,3225000,1949,12,0.0,164
1,2,30,0.43849,233,140.0,1,3,2003,5,4.985033682626335e-07,142
1,25000000,7,9.453942,275,124.0,0,38307627,2014,5,6.163410249406094,435
0,75000000,7,17.852022,203,115.0,0,117698894,2013,5,18.50860613167911,421
1,0,17,0.215013,240,116.0,1,9833553,2010,11,0.0,446
0,30000000,7,9.783762,222,118.0,0,27610873,2005,6,7.462640157710462,435
1,11000000,7,2.27258,275,124.0,1,2200000,1970,1,2.8343940838465302,455
1,0,7,11.576578,204,95.0,1,1289998,2014,9,0.0,305
0,27000000,7,12.235391,275,115.0,0,60527873,1997,10,6.770295653796167,405
1,0,7,0.7676310000000001,275,88.0,0,152810,2005,4,0.0,385
1,0,7,1.021685,30,93.0,0,88000,1982,6,0.0,164
0,60000000,7,11.234862,268,105.0,0,50549107,2014,1,14.792184598574625,162
0,0,7,3.611453,275,113.0,0,14681192,1988,7,0.0,385
1,36000000,7,14.575883,275,97.0,0,87416021,2016,12,8.857709750566894,480
1,12,7,1.4103219999999999,204,84.0,0,1,1996,10,3.0120360962405775e-06,221
1,1000000,17,11.267366,239,117.0,1,3301446,1984,3,0.25404851716961496,212
1,350000,7,2.96237,275,85.0,1,3515061,2004,12,0.08715104720698325,422
1,110000000,7,13.1984,226,107.0,0,121790373,2016,9,27.065224237843285,142
0,7200000,7,12.00491,222,120.0,0,116019547,1971,12,1.853357704987154,84
1,0,7,7.093984,275,96.0,0,9500000,1984,9,0.0,305
